The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
-0.063 0.193 -291.371
-0.086 0.184 -299.476
-0.109 0.171 -306.870
-0.129 0.156 -311.820
-0.148 0.139 -311.820
Layer: 7
2.139
51
-0.066 -0.346 104.349
-0.109 -0.335 111.318
-0.150 -0.319 119.427
-0.189 -0.297 126.607
-0.224 -0.271 132.274
-0.257 -0.241 140.528
-0.285 -0.207 147.031
-0.309 -0.170 155.772
-0.327 -0.130 161.565
-0.341 -0.088 169.695
-0.349 -0.044 176.100
-0.352 0.000 183.900
-0.349 0.044 190.305
-0.341 0.088 198.435
-0.327 0.130 204.228
-0.309 0.170 212.969
-0.285 0.207 219.472
-0.257 0.241 227.726
-0.224 0.271 233.393
-0.189 0.297 240.573
-0.150 0.319 248.682
-0.109 0.335 255.651
-0.066 0.346 263.517
-0.022 0.351 270.000
0.022 0.351 276.483
0.066 0.346 284.349
0.109 0.335 291.318
0.150 0.319 299.427
0.189 0.297 306.607
0.224 0.271 312.274
0.257 0.241 320.528
0.285 0.207 327.031
0.309 0.170 335.772
0.327 0.130 341.565
0.341 0.088 349.695
0.349 0.044 356.100
0.352 0.000 363.900
0.349 -0.044 370.305
0.341 -0.088 378.435
0.327 -0.130 384.228
0.309 -0.170 392.969
0.285 -0.207 399.472
0.257 -0.241 407.726
0.224 -0.271 413.393
0.189 -0.297 420.573
0.150 -0.319 428.682
0.109 -0.335 435.651
0.066 -0.346 443.517
0.022 -0.351 450.000
-0.022 -0.351 456.483
-0.066 -0.346 456.483
Layer: 8
2.139
51
-0.051 -0.269 276.710
-0.017 -0.273 270.000
0.017 -0.273 263.290
0.051 -0.269 254.745
0.084 -0.260 247.891
0.116 -0.247 241.928
0.146 -0.231 234.462
0.174 -0.211 226.169
0.199 -0.187 220.236
0.221 -0.161 213.232
0.240 -0.132 204.305
0.254 -0.101 198.435
0.265 -0.068 190.008
0.271 -0.034 183.366
0.273 0.000 176.634
0.271 0.034 169.992
0.265 0.068 161.565
0.254 0.101 155.695
0.240 0.132 146.768
0.221 0.161 139.764
0.199 0.187 133.831
0.174 0.211 125.538
0.146 0.231 118.072
0.116 0.247 112.109
0.084 0.260 105.255
0.051 0.269 96.710
0.017 0.273 90.000
-0.017 0.273 83.290
-0.051 0.269 74.745
-0.084 0.260 67.891
-0.116 0.247 61.928
-0.146 0.231 54.462
-0.174 0.211 46.169
-0.199 0.187 40.236
-0.221 0.161 33.232
-0.240 0.132 24.305
-0.254 0.101 18.435
-0.265 0.068 10.008
-0.271 0.034 3.366
-0.273 0.000 -3.366
-0.271 -0.034 -10.008
-0.265 -0.068 -18.435
-0.254 -0.101 -24.305
-0.240 -0.132 -33.232
-0.221 -0.161 -40.236
-0.199 -0.187 -46.169
-0.174 -0.211 -54.462
-0.146 -0.231 -61.928
-0.116 -0.247 -67.891
-0.084 -0.260 -74.745
-0.051 -0.269 -74.745
Layer: 9
2.739
51
0.346 0.190 334.983
0.367 0.145 341.200
0.383 0.098 349.380
0.392 0.050 356.566
0.395 0.000 363.434
0.392 -0.050 370.620
0.383 -0.098 378.800
0.367 -0.145 385.017
0.346 -0.190 391.759
0.320 -0.232 400.101
0.288 -0.270 406.637
0.252 -0.304 413.130
0.212 -0.334 421.390
0.168 -0.358 428.629
0.122 -0.376 435.964
0.074 -0.388 443.019
0.025 -0.394 450.000
-0.025 -0.394 456.981
-0.074 -0.388 464.036
-0.122 -0.376 471.371
-0.168 -0.358 478.610
-0.212 -0.334 486.870
-0.252 -0.304 493.363
-0.288 -0.270 499.899
-0.320 -0.232 508.241
