The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
0.044 0.702 -270.000
-0.044 0.702 -277.765
-0.132 0.690 -283.878
-0.217 0.669 -291.922
-0.299 0.636 -298.301
-0.377 0.594 -306.219
-0.448 0.542 -306.219
Layer: 45
13.539
51
-0.139 -0.730 104.184
-0.230 -0.707 111.346
-0.317 -0.673 119.055
-0.398 -0.628 125.893
-0.474 -0.573 133.264
-0.542 -0.509 140.194
-0.602 -0.437 147.670
-0.652 -0.358 155.095
-0.691 -0.274 161.952
-0.720 -0.185 168.930
-0.738 -0.093 176.309
-0.744 0.000 183.691
-0.738 0.093 191.070
-0.720 0.185 198.048
-0.691 0.274 204.905
-0.652 0.358 212.330
-0.602 0.437 219.806
-0.542 0.509 226.736
-0.474 0.573 234.107
-0.398 0.628 240.945
-0.317 0.673 248.654
-0.230 0.707 255.816
-0.139 0.730 262.569
-0.047 0.742 270.000
0.047 0.742 277.431
0.139 0.730 284.184
0.230 0.707 291.346
0.317 0.673 299.055
0.398 0.628 305.893
0.474 0.573 313.264
0.542 0.509 320.194
0.602 0.437 327.670
0.652 0.358 335.095
0.691 0.274 341.952
0.720 0.185 348.930
0.738 0.093 356.309
0.744 0.000 363.691
0.738 -0.093 371.070
0.720 -0.185 378.048
0.691 -0.274 384.905
0.652 -0.358 392.330
0.602 -0.437 399.806
0.542 -0.509 406.736
0.474 -0.573 414.107
0.398 -0.628 420.945
0.317 -0.673 428.654
0.230 -0.707 435.816
0.139 -0.730 442.569
0.047 -0.742 450.000
-0.047 -0.742 457.431
-0.139 -0.730 457.431
Layer: 46
13.539
51
-0.133 -0.698 277.125
-0.045 -0.709 270.000
0.045 -0.709 262.875
0.133 -0.698 255.809
0.220 -0.676 248.318
0.303 -0.643 241.133
0.381 -0.600 234.162
0.453 -0.548 226.353
0.518 -0.486 219.971
0.575 -0.418 212.276
0.623 -0.342 205.408
0.661 -0.262 197.622
0.688 -0.177 190.934
0.705 -0.089 183.857
0.711 0.000 176.143
0.705 0.089 169.066
0.688 0.177 162.378
0.661 0.262 154.592
0.623 0.342 147.724
0.575 0.418 140.029
0.518 0.486 133.647
0.453 0.548 125.838
0.381 0.600 118.867
0.303 0.643 111.682
0.220 0.676 104.191
0.133 0.698 97.125
0.045 0.709 90.000
-0.045 0.709 82.875
-0.133 0.698 75.809
-0.220 0.676 68.318
-0.303 0.643 61.133
-0.381 0.600 54.162
-0.453 0.548 46.353
-0.518 0.486 39.971
-0.575 0.418 32.276
-0.623 0.342 25.408
-0.661 0.262 17.622
-0.688 0.177 10.934
-0.705 0.089 3.857
-0.711 0.000 -3.857
-0.705 -0.089 -10.934
-0.688 -0.177 -17.622
-0.661 -0.262 -25.408
-0.623 -0.342 -32.276
-0.575 -0.418 -39.971
-0.518 -0.486 -46.353
-0.453 -0.548 -54.162
-0.381 -0.600 -61.133
-0.303 -0.643 -68.318
-0.220 -0.676 -75.809
-0.133 -0.698 -75.809
Layer: 47
14.139
51
0.728 0.187 349.641
0.745 0.094 356.348
0.751 0.000 363.652
0.745 -0.094 370.359
0.728 -0.187 377.860
0.699 -0.277 385.750
0.658 -0.362 392.005
0.608 -0.442 399.806
0.548 -0.514 406.710
0.479 -0.579 414.107
0.403 -0.634 421.004
0.320 -0.680 428.311
0.232 -0.715 435.816
0.141 -0.738 442.725
0.047 -0.750 450.000
-0.047 -0.750 457.275
-0.141 -0.738 464.184
-0.232 -0.715 471.689
-0.320 -0.680 478.996
-0.403 -0.634 485.893
-0.479 -0.579 493.290
-0.548 -0.514 500.194
-0.608 -0.442 507.995
-0.658 -0.362 514.250
-0.699 -0.277 522.140
-0.728 -0.187 529.641
-0.745 -0.094 536.348
-0.751 0.000 543.652
-0.745 0.094 550.359
-0.728 0.187 557.860
-0.699 0.277 565.750
-0.658 0.362 572.005
-0.608 0.442 579.806
-0.548 0.514 586.710
-0.479 0.579 594.107
-0.403 0.634 601.004
-0.320 0.680 608.311
-0.232 0.715 615.816
-0.141 0.738 622.725
-0.047 0.750 630.000
0.047 0.750 637.275
0.141 0.738 644.184
0.232 0.715 651.689
0.320 0.680 658.996
0.403 0.634 665.893
0.479 0.579 673.290
0.548 0.514 680.194
0.608 0.442 687.995
0.658 0.362 694.250
0.699 0.277 702.140
0.728 0.187 702.140
Layer: 48
14.139
51
0.696 0.179 161.768
0.668 0.264 154.564
0.629 0.346 147.724
0.581 0.422 140.845
0.524 0.492 132.745
0.458 0.553 125.981
0.385 0.606 119.116
0.306 0.650 111.448
0.222 0.683 104.808
0.135 0.706 96.968
0.045 0.717 90.000
-0.045 0.717 83.032
-0.135 0.706 75.192
-0.222 0.683 68.552
-0.306 0.650 60.884
-0.385 0.606 54.019
-0.458 0.553 47.255
-0.524 0.492 39.155
-0.581 0.422 32.276
-0.629 0.346 25.436
-0.668 0.264 18.232
-0.696 0.179 10.814
-0.713 0.090 3.180
-0.718 0.000 -3.180
-0.713 -0.090 -10.814
-0.696 -0.179 -18.232
-0.668 -0.264 -25.436
-0.629 -0.346 -32.276
-0.581 -0.422 -39.155
-0.524 -0.492 -47.255
-0.458 -0.553 -54.019
-0.385 -0.606 -60.884
-0.306 -0.650 -68.552
-0.222 -0.683 -75.192
-0.135 -0.706 -83.032
-0.045 -0.717 -90.000
0.045 -0.717 -96.968
0.135 -0.706 -104.808
0.222 -0.683 -111.448
0.306 -0.650 -119.116
0.385 -0.606 -125.981
0.458 -0.553 -132.745
0.524 -0.492 -140.845
0.581 -0.422 -147.724
0.629 -0.346 -154.564
0.668 -0.264 -161.768
0.696 -0.179 -169.186
0.713 -0.090 -176.820
0.718 0.000 -183.180
0.713 0.090 -190.814
0.696 0.179 -190.814
Layer: 49
14.739
51
-0.484 0.585 233.973
-0.407 0.641 241.294
-0.323 0.687 248.311
-0.235 0.722 255.530
-0.142 0.746 263.326
-0.048 0.757 270.000
0.048 0.757 276.674
0.142 0.746 284.470
0.235 0.722 291.689
0.323 0.687 298.706
0.407 0.641 306.027
0.484 0.585 313.290
0.553 0.520 320.500
0.614 0.446 327.482
0.665 0.366 334.767
0.706 0.279 342.140
0.735 0.189 349.160
0.753 0.095 356.386
0.759 0.000 363.614
0.753 -0.095 370.840
0.735 -0.189 377.860
0.706 -0.279 385.233
0.665 -0.366 392.518
0.614 -0.446 399.500
0.553 -0.520 406.710
0.484 -0.585 413.973
0.407 -0.641 421.294
0.323 -0.687 428.311
0.235 -0.722 435.530
0.142 -0.746 443.326
0.048 -0.757 450.000
-0.048 -0.757 456.674
-0.142 -0.746 464.470
-0.235 -0.722 471.689
-0.323 -0.687 478.706
-0.407 -0.641 486.027
-0.484 -0.585 493.290
-0.553 -0.520 500.500
-0.614 -0.446 507.482
-0.665 -0.366 514.767
-0.706 -0.279 522.140
-0.735 -0.189 529.160
-0.753 -0.095 536.386
-0.759 0.000 543.614
-0.753 0.095 550.840
-0.735 0.189 557.860
-0.706 0.279 565.233
-0.665 0.366 572.518
-0.614 0.446 579.500
-0.553 0.520 586.710
-0.484 0.585 586.710
Layer: 50
14.739
51
-0.463 0.559 46.790
-0.529 0.497 39.644
-0.587 0.427 32.471
-0.636 0.350 25.168
-0.675 0.267 18.034
-0.703 0.181 10.697
-0.720 0.091 3.772
-0.726 0.000 -3.772
-0.720 -0.091 -10.697
-0.703 -0.181 -18.034
-0.675 -0.267 -25.168
-0.636 -0.350 -32.471
-0.587 -0.427 -39.644
-0.529 -0.497 -46.790
-0.463 -0.559 -53.881
-0.389 -0.613 -61.189
-0.309 -0.657 -68.782
-0.224 -0.690 -75.353
-0.136 -0.713 -82.405
-0.046 -0.725 -90.000
0.046 -0.725 -97.595
0.136 -0.713 -104.647
0.224 -0.690 -111.218
0.309 -0.657 -118.811
0.389 -0.613 -126.119
0.463 -0.559 -133.210
0.529 -0.497 -140.356
0.587 -0.427 -147.529
0.636 -0.350 -154.832
0.675 -0.267 -161.966
0.703 -0.181 -169.303
0.720 -0.091 -176.228
0.726 0.000 -183.772
0.720 0.091 -190.697
0.703 0.181 -198.034
0.675 0.267 -205.168
0.636 0.350 -212.471
0.587 0.427 -219.644
0.529 0.497 -226.790
0.463 0.559 -233.881
0.389 0.613 -241.189
0.309 0.657 -248.782
0.224 0.690 -255.353
0.136 0.713 -262.405
0.046 0.725 -270.000
-0.046 0.725 -277.595
-0.136 0.713 -284.647
-0.224 0.690 -291.218
-0.309 0.657 -298.811
-0.389 0.613 -306.119
-0.463 0.559 -306.119
Layer: 51
15.339
51
-0.143 -0.751 103.891
-0.236 -0.728 111.801
-0.326 -0.692 118.706
-0.410 -0.646 126.158
-0.488 -0.589 132.879
-0.558 -0.524 140.500
-0.619 -0.450 147.804
-0.670 -0.369 154.767
-0.711 -0.282 161.940
-0.741 -0.190 169.160
-0.759 -0.096 176.424
-0.765 0.000 183.576
-0.759 0.096 190.840
-0.741 0.190 198.060
-0.711 0.282 205.233
-0.670 0.369 212.196
-0.619 0.450 219.500
-0.558 0.524 227.121
-0.488 0.589 233.842
-0.410 0.646 241.294
-0.326 0.692 248.199
-0.236 0.728 256.109
-0.143 0.751 262.208
-0.048 0.764 270.000
0.048 0.764 277.792
0.143 0.751 283.891
0.236 0.728 291.801
0.326 0.692 298.706
0.410 0.646 306.158
0.488 0.589 312.879
0.558 0.524 320.500
0.619 0.450 327.804
0.670 0.369 334.767
0.711 0.282 341.940
0.741 0.190 349.160
0.759 0.096 356.424
0.765 0.000 363.576
0.759 -0.096 370.840
0.741 -0.190 378.060
0.711 -0.282 385.233
0.670 -0.369 392.196
0.619 -0.450 399.500
0.558 -0.524 407.121
0.488 -0.589 413.842
0.410 -0.646 421.294
0.326 -0.692 428.199
0.236 -0.728 436.109
0.143 -0.751 442.208
0.048 -0.764 450.000
-0.048 -0.764 457.792
-0.143 -0.751 457.792
Layer: 52
15.339
51
-0.137 -0.720 277.512
-0.046 -0.732 270.000
0.046 -0.732 262.488
0.137 -0.720 255.510
0.226 -0.697 248.429
0.312 -0.663 241.489
0.393 -0.619 233.881
0.467 -0.565 226.762
0.534 -0.502 219.726
0.593 -0.431 212.137
0.642 -0.353 205.731
0.682 -0.270 197.650
0.710 -0.182 190.697
0.727 -0.092 183.731
0.733 0.000 176.269
0.727 0.092 169.303
0.710 0.182 162.350
0.682 0.270 154.269
0.642 0.353 147.863
0.593 0.431 140.274
0.534 0.502 133.238
0.467 0.565 126.119
0.393 0.619 118.511
0.312 0.663 111.571
0.226 0.697 104.490
0.137 0.720 97.512
0.046 0.732 90.000
-0.046 0.732 82.488
-0.137 0.720 75.510
-0.226 0.697 68.429
-0.312 0.663 61.489
-0.393 0.619 53.881
-0.467 0.565 46.762
-0.534 0.502 39.726
-0.593 0.431 32.137
-0.642 0.353 25.731
-0.682 0.270 17.650
-0.710 0.182 10.697
-0.727 0.092 3.731
-0.733 0.000 -3.731
-0.727 -0.092 -10.697
-0.710 -0.182 -17.650
-0.682 -0.270 -25.731
-0.642 -0.353 -32.137
-0.593 -0.431 -39.726
-0.534 -0.502 -46.762
-0.467 -0.565 -53.881
-0.393 -0.619 -61.489
-0.312 -0.663 -68.429
-0.226 -0.697 -75.510
-0.137 -0.720 -75.510
Layer: 53
15.939
51
0.745 0.191 349.271
0.763 0.096 355.830
0.770 0.000 364.170
0.763 -0.096 370.729
0.745 -0.191 378.060
0.715 -0.283 384.981
0.674 -0.371 392.196
0.623 -0.452 399.579
0.561 -0.527 406.685
0.491 -0.593 414.189
0.412 -0.650 421.294
0.328 -0.696 428.199
0.238 -0.732 435.677
0.144 -0.756 442.875
0.048 -0.768 450.000
-0.048 -0.768 457.125
-0.144 -0.756 464.323
-0.238 -0.732 471.801
-0.328 -0.696 478.706
-0.412 -0.650 485.811
-0.491 -0.593 493.315
-0.561 -0.527 500.421
-0.623 -0.452 507.804
-0.674 -0.371 515.019
-0.715 -0.283 521.940
-0.745 -0.191 529.271
-0.763 -0.096 535.830
-0.770 0.000 544.170
-0.763 0.096 550.729
-0.745 0.191 558.060
-0.715 0.283 564.981
-0.674 0.371 572.196
-0.623 0.452 579.579
-0.561 0.527 586.685
-0.491 0.593 594.189
-0.412 0.650 601.294
-0.328 0.696 608.199
-0.238 0.732 615.677
-0.144 0.756 622.875
-0.048 0.768 630.000
0.048 0.768 637.125
0.144 0.756 644.323
0.238 0.732 651.801
0.328 0.696 658.706
0.412 0.650 665.811
0.491 0.593 673.315
0.561 0.527 680.421
0.623 0.452 687.804
0.674 0.371 695.019
0.715 0.283 701.940
0.745 0.191 701.940
Layer: 54
15.939
51
0.714 0.183 162.350
0.686 0.271 154.537
0.646 0.355 148.191
0.597 0.434 140.274
0.538 0.505 132.814
0.470 0.568 126.254
0.395 0.623 118.511
0.314 0.667 111.571
0.228 0.701 104.335
0.138 0.724 97.431
0.046 0.736 90.000
-0.046 0.736 82.569
-0.138 0.724 75.665
-0.228 0.701 68.429
-0.314 0.667 61.489
-0.395 0.623 53.746
-0.470 0.568 47.186
-0.538 0.505 39.726
-0.597 0.434 31.809
-0.646 0.355 25.463
-0.686 0.271 17.650
-0.714 0.183 11.189
-0.732 0.092 3.731
-0.738 0.000 -3.731
-0.732 -0.092 -11.189
-0.714 -0.183 -17.650
-0.686 -0.271 -25.463
-0.646 -0.355 -31.809
-0.597 -0.434 -39.726
-0.538 -0.505 -47.186
-0.470 -0.568 -53.746
-0.395 -0.623 -61.489
-0.314 -0.667 -68.429
-0.228 -0.701 -75.665
-0.138 -0.724 -82.569
-0.046 -0.736 -90.000
0.046 -0.736 -97.431
0.138 -0.724 -104.335
0.228 -0.701 -111.571
0.314 -0.667 -118.511
0.395 -0.623 -126.254
0.470 -0.568 -132.814
0.538 -0.505 -140.274
0.597 -0.434 -148.191
0.646 -0.355 -154.537
0.686 -0.271 -162.350
0.714 -0.183 -168.811
0.732 -0.092 -176.269
0.738 0.000 -183.731
0.732 0.092 -191.189
0.714 0.183 -191.189
Layer: 55
16.539
51
-0.493 0.596 233.366
-0.415 0.654 241.579
-0.330 0.700 248.416
-0.239 0.736 255.677
-0.145 0.760 262.288
-0.049 0.773 270.000
0.049 0.773 277.712
0.145 0.760 284.323
0.239 0.736 291.584
0.330 0.700 298.421
0.415 0.654 306.634
0.493 0.596 312.910
0.564 0.530 320.421
0.626 0.455 327.619
0.678 0.373 334.486
0.720 0.285 342.121
0.750 0.192 349.271
0.768 0.097 356.460
0.774 0.000 363.540
0.768 -0.097 370.729
0.750 -0.192 377.879
0.720 -0.285 385.514
0.678 -0.373 392.381
0.626 -0.455 399.579
0.564 -0.530 407.090
0.493 -0.596 413.366
0.415 -0.654 421.579
0.330 -0.700 428.416
0.239 -0.736 435.677
0.145 -0.760 442.288
0.049 -0.773 450.000
-0.049 -0.773 457.712
-0.145 -0.760 464.323
-0.239 -0.736 471.584
-0.330 -0.700 478.421
-0.415 -0.654 486.634
-0.493 -0.596 492.910
-0.564 -0.530 500.421
-0.626 -0.455 507.619
-0.678 -0.373 514.486
-0.720 -0.285 522.121
-0.750 -0.192 529.271
-0.768 -0.097 536.460
-0.774 0.000 543.540
-0.768 0.097 550.729
-0.750 0.192 557.879
-0.720 0.285 565.514
-0.678 0.373 572.381
-0.626 0.455 579.579
-0.564 0.530 587.090
-0.493 0.596 587.090
Layer: 56
16.539
51
-0.473 0.572 46.736
-0.541 0.508 39.333
-0.600 0.436 32.330
-0.650 0.357 25.463
-0.690 0.273 18.239
-0.719 0.185 10.469
-0.736 0.093 3.691
-0.742 0.000 -3.691
-0.736 -0.093 -10.469
-0.719 -0.185 -18.239
-0.690 -0.273 -25.463
-0.650 -0.357 -32.330
-0.600 -0.436 -39.333
-0.541 -0.508 -46.736
-0.473 -0.572 -53.746
-0.398 -0.627 -61.783
-0.316 -0.671 -68.085
-0.229 -0.706 -75.665
-0.139 -0.729 -82.569
-0.047 -0.741 -90.000
0.047 -0.741 -97.431
0.139 -0.729 -104.335
0.229 -0.706 -111.915
0.316 -0.671 -118.217
0.398 -0.627 -126.254
0.473 -0.572 -133.264
0.541 -0.508 -140.667
0.600 -0.436 -147.670
0.650 -0.357 -154.537
0.690 -0.273 -161.761
0.719 -0.185 -169.531
0.736 -0.093 -176.309
0.742 0.000 -183.691
0.736 0.093 -190.469
0.719 0.185 -198.239
0.690 0.273 -205.463
0.650 0.357 -212.330
0.600 0.436 -219.333
0.541 0.508 -226.736
0.473 0.572 -233.746
0.398 0.627 -241.783
0.316 0.671 -248.085
0.229 0.706 -255.665
0.139 0.729 -262.569
0.047 0.741 -270.000
-0.047 0.741 -277.431
-0.139 0.729 -284.335
-0.229 0.706 -291.915
-0.316 0.671 -298.217
-0.398 0.627 -306.254
-0.473 0.572 -306.254
Layer: 57
17.139
51
-0.146 -0.765 104.744
-0.241 -0.740 111.801
-0.331 -0.704 118.657
-0.417 -0.657 125.811
-0.496 -0.600 132.940
-0.568 -0.533 140.421
-0.630 -0.458 147.933
-0.682 -0.375 154.486
-0.724 -0.287 162.121
-0.754 -0.194 169.380
-0.772 -0.098 175.914
-0.779 0.000 184.086
-0.772 0.098 190.620
-0.754 0.194 197.879
-0.724 0.287 205.514
-0.682 0.375 212.067
-0.630 0.458 219.579
-0.568 0.533 227.060
-0.496 0.600 234.189
-0.417 0.657 241.343
-0.331 0.704 248.199
-0.241 0.740 255.256
-0.146 0.765 262.948
-0.049 0.777 270.000
0.049 0.777 277.052
0.146 0.765 284.744
0.241 0.740 291.801
0.331 0.704 298.657
0.417 0.657 305.811
0.496 0.600 312.940
0.568 0.533 320.421
0.630 0.458 327.933
0.682 0.375 334.486
0.724 0.287 342.121
0.754 0.194 349.380
0.772 0.098 355.914
0.779 0.000 364.086
0.772 -0.098 370.620
0.754 -0.194 377.879
0.724 -0.287 385.514
0.682 -0.375 392.067
0.630 -0.458 399.579
0.568 -0.533 407.060
0.496 -0.600 414.189
0.417 -0.657 421.343
0.331 -0.704 428.199
0.241 -0.740 435.256
0.146 -0.765 442.948
0.049 -0.777 450.000
-0.049 -0.777 457.052
-0.146 -0.765 457.052
Layer: 58
17.139
51
-0.140 -0.733 277.352
-0.047 -0.745 270.000
0.047 -0.745 262.648
0.140 -0.733 255.816
0.231 -0.710 248.085
0.318 -0.675 241.243
0.400 -0.630 234.107
0.476 -0.575 226.736
0.544 -0.511 219.806
0.604 -0.439 212.330
0.654 -0.360 205.201
0.694 -0.275 198.048
0.723 -0.186 191.070
0.741 -0.094 183.652
0.747 0.000 176.348
0.741 0.094 168.930
0.723 0.186 161.952
0.694 0.275 154.799
0.654 0.360 147.670
0.604 0.439 140.194
0.544 0.511 133.264
0.476 0.575 125.893
0.400 0.630 118.757
0.318 0.675 111.915
0.231 0.710 104.184
0.140 0.733 97.352
0.047 0.745 90.000
-0.047 0.745 82.648
-0.140 0.733 75.816
-0.231 0.710 68.085
-0.318 0.675 61.243
-0.400 0.630 54.107
-0.476 0.575 46.736
-0.544 0.511 39.806
-0.604 0.439 32.330
-0.654 0.360 25.201
-0.694 0.275 18.048
-0.723 0.186 11.070
-0.741 0.094 3.652
-0.747 0.000 -3.652
-0.741 -0.094 -11.070
-0.723 -0.186 -18.048
-0.694 -0.275 -25.201
-0.654 -0.360 -32.330
-0.604 -0.439 -39.806
-0.544 -0.511 -46.736
-0.476 -0.575 -54.107
-0.400 -0.630 -61.243
-0.318 -0.675 -68.085
-0.231 -0.710 -75.816
-0.140 -0.733 -75.816
Layer: 59
17.739
51
-0.333 0.707 247.874
-0.242 0.744 255.964
-0.146 0.768 262.948
-0.049 0.780 270.000
0.049 0.780 277.052
0.146 0.768 284.036
0.242 0.744 292.126
0.333 0.707 298.657
0.419 0.660 306.285
0.498 0.602 312.940
0.570 0.535 320.421
0.632 0.460 327.440
0.685 0.377 334.737
0.727 0.288 342.300
0.757 0.194 348.805
0.776 0.098 356.496
0.782 0.000 363.504
0.776 -0.098 371.195
0.757 -0.194 377.700
0.727 -0.288 385.263
0.685 -0.377 392.560
0.632 -0.460 399.579
0.570 -0.535 407.060
0.498 -0.602 413.715
0.419 -0.660 421.343
0.333 -0.707 427.874
0.242 -0.744 435.964
0.146 -0.768 442.948
0.049 -0.780 450.000
-0.049 -0.780 457.052
-0.146 -0.768 464.036
-0.242 -0.744 472.126
-0.333 -0.707 478.657
-0.419 -0.660 486.285
-0.498 -0.602 492.940
-0.570 -0.535 500.421
-0.632 -0.460 507.440
-0.685 -0.377 514.737
-0.727 -0.288 522.300
-0.757 -0.194 528.805
-0.776 -0.098 536.496
-0.782 0.000 543.504
-0.776 0.098 551.195
-0.757 0.194 557.700
-0.727 0.288 565.263
-0.685 0.377 572.560
-0.632 0.460 579.579
-0.570 0.535 587.060
-0.498 0.602 593.715
-0.419 0.660 601.343
-0.333 0.707 601.343
Layer: 60
17.739
51
-0.319 0.679 61.535
-0.402 0.634 53.616
-0.478 0.578 47.153
-0.547 0.514 39.417
-0.607 0.441 32.005
-0.657 0.361 25.750
-0.698 0.276 18.048
-0.727 0.187 10.359
-0.744 0.094 3.652
-0.750 0.000 -3.652
-0.744 -0.094 -10.359
-0.727 -0.187 -18.048
-0.698 -0.276 -25.750
-0.657 -0.361 -32.005
-0.607 -0.441 -39.417
-0.547 -0.514 -47.153
-0.478 -0.578 -53.616
-0.402 -0.634 -61.535
-0.319 -0.679 -68.085
-0.232 -0.714 -75.816
-0.141 -0.737 -82.725
-0.047 -0.749 -90.000
0.047 -0.749 -97.275
0.141 -0.737 -104.184
0.232 -0.714 -111.915
0.319 -0.679 -118.465
0.402 -0.634 -126.384
0.478 -0.578 -132.847
0.547 -0.514 -140.583
0.607 -0.441 -147.995
0.657 -0.361 -154.250
0.698 -0.276 -161.952
0.727 -0.187 -169.641
0.744 -0.094 -176.348
0.750 0.000 -183.652
0.744 0.094 -190.359
0.727 0.187 -198.048
0.698 0.276 -205.750
0.657 0.361 -212.005
0.607 0.441 -219.417
0.547 0.514 -227.153
0.478 0.578 -233.616
0.402 0.634 -241.535
0.319 0.679 -248.085
0.232 0.714 -255.816
0.141 0.737 -262.725
0.047 0.749 -270.000
-0.047 0.749 -277.275
-0.141 0.737 -284.184
-0.232 0.714 -291.915
-0.319 0.679 -291.915
Layer: 61
18.339
51
-0.499 -0.604 133.363
-0.571 -0.536 140.343
-0.634 -0.460 147.933
-0.686 -0.377 154.737
-0.728 -0.288 161.565
-0.759 -0.195 169.487
-0.777 -0.098 176.496
-0.783 0.000 183.504
-0.777 0.098 190.513
-0.759 0.195 198.435
-0.728 0.288 205.263
-0.686 0.377 212.067
-0.634 0.460 219.657
-0.571 0.536 226.637
-0.499 0.604 234.189
-0.420 0.661 240.832
-0.334 0.709 248.629
-0.242 0.745 255.822
-0.147 0.769 262.444
-0.049 0.782 270.000
0.049 0.782 277.556
0.147 0.769 284.178
0.242 0.745 291.371
0.334 0.709 299.168
0.420 0.661 305.811
0.499 0.604 313.363
0.571 0.536 320.343
0.634 0.460 327.933
0.686 0.377 334.737
0.728 0.288 341.565
0.759 0.195 349.487
0.777 0.098 356.496
0.783 0.000 363.504
0.777 -0.098 370.513
0.759 -0.195 378.435
0.728 -0.288 385.263
0.686 -0.377 392.067
0.634 -0.460 399.657
0.571 -0.536 406.637
0.499 -0.604 414.189
0.420 -0.661 420.832
0.334 -0.709 428.629
0.242 -0.745 435.822
0.147 -0.769 442.444
0.049 -0.782 450.000
-0.049 -0.782 457.556
-0.147 -0.769 464.178
-0.242 -0.745 471.371
-0.334 -0.709 479.168
-0.420 -0.661 485.811
-0.499 -0.604 485.811
Layer: 62
18.339
51
-0.479 -0.579 306.384
-0.403 -0.635 298.465
-0.320 -0.680 291.689
-0.232 -0.715 284.184
-0.141 -0.738 277.275
-0.047 -0.750 270.000
0.047 -0.750 262.725
0.141 -0.738 255.816
0.232 -0.715 248.311
0.320 -0.680 241.535
0.403 -0.635 233.616
0.479 -0.579 227.153
0.548 -0.515 219.417
0.608 -0.442 212.518
0.659 -0.362 205.201
0.699 -0.277 197.860
0.728 -0.187 190.954
0.746 -0.094 183.652
0.752 0.000 176.348
0.746 0.094 169.046
0.728 0.187 162.140
0.699 0.277 154.799
0.659 0.362 147.482
0.608 0.442 140.583
0.548 0.515 132.847
0.479 0.579 126.384
0.403 0.635 118.465
0.320 0.680 111.689
0.232 0.715 104.184
0.141 0.738 97.275
0.047 0.750 90.000
-0.047 0.750 82.725
-0.141 0.738 75.816
-0.232 0.715 68.311
-0.320 0.680 61.535
-0.403 0.635 53.616
-0.479 0.579 47.153
-0.548 0.515 39.417
-0.608 0.442 32.518
-0.659 0.362 25.201
-0.699 0.277 17.860
-0.728 0.187 10.954
-0.746 0.094 3.652
-0.752 0.000 -3.652
-0.746 -0.094 -10.954
-0.728 -0.187 -17.860
-0.699 -0.277 -25.201
-0.659 -0.362 -32.518
-0.608 -0.442 -39.417
-0.548 -0.515 -47.153
-0.479 -0.579 -47.153
Layer: 63
18.939
51
0.785 0.000 3.504
0.779 -0.098 11.083
0.760 -0.195 17.700
0.730 -0.289 25.263
0.688 -0.378 32.560
0.635 -0.461 39.657
0.572 -0.537 46.637
0.500 -0.605 53.715
0.421 -0.663 61.621
0.334 -0.710 68.416
0.243 -0.746 75.403
0.147 -0.771 83.019
0.049 -0.783 90.000
-0.049 -0.783 96.981
-0.147 -0.771 104.597
-0.243 -0.746 111.584
-0.334 -0.710 118.379
-0.421 -0.663 126.285
-0.500 -0.605 133.363
-0.572 -0.537 140.343
-0.635 -0.461 147.440
-0.688 -0.378 154.737
-0.730 -0.289 162.300
-0.760 -0.195 168.917
-0.779 -0.098 176.496
-0.785 0.000 183.504
-0.779 0.098 191.083
-0.760 0.195 197.700
-0.730 0.289 205.263
-0.688 0.378 212.560
-0.635 0.461 219.657
-0.572 0.537 226.637
-0.500 0.605 233.715
-0.421 0.663 241.621
-0.334 0.710 248.416
-0.243 0.746 255.403
-0.147 0.771 263.019
-0.049 0.783 270.000
0.049 0.783 276.981
0.147 0.771 284.597
0.243 0.746 291.584
0.334 0.710 298.379
0.421 0.663 306.285
0.500 0.605 313.363
0.572 0.537 320.343
0.635 0.461 327.440
0.688 0.378 334.737
0.730 0.289 342.300
0.760 0.195 348.917
0.779 0.098 356.496
0.785 0.000 356.496
Layer: 64
18.939
51
0.753 0.000 176.348
0.747 0.094 169.641
0.730 0.187 161.565
0.700 0.277 155.056
0.660 0.363 147.482
0.609 0.443 140.583
0.549 0.516 132.847
0.480 0.580 126.384
0.404 0.636 118.996
0.321 0.682 111.125
0.233 0.716 104.621
0.141 0.740 97.275
0.047 0.752 90.000
-0.047 0.752 82.725
-0.141 0.740 75.379
-0.233 0.716 68.875
-0.321 0.682 61.004
-0.404 0.636 53.616
-0.480 0.580 47.153
-0.549 0.516 39.417
-0.609 0.443 32.518
-0.660 0.363 24.944
-0.700 0.277 18.435
-0.730 0.187 10.359
-0.747 0.094 3.652
-0.753 0.000 -3.652
-0.747 -0.094 -10.359
-0.730 -0.187 -18.435
-0.700 -0.277 -24.944
-0.660 -0.363 -32.518
-0.609 -0.443 -39.417
-0.549 -0.516 -47.153
-0.480 -0.580 -53.616
-0.404 -0.636 -61.004
-0.321 -0.682 -68.875
-0.233 -0.716 -75.379
-0.141 -0.740 -82.725
-0.047 -0.752 -90.000
0.047 -0.752 -97.275
0.141 -0.740 -104.621
0.233 -0.716 -111.125
0.321 -0.682 -118.996
0.404 -0.636 -126.384
0.480 -0.580 -132.847
0.549 -0.516 -140.583
0.609 -0.443 -147.482
0.660 -0.363 -155.056
0.700 -0.277 -161.565
0.730 -0.187 -169.641
0.747 -0.094 -176.348
0.753 0.000 -176.348
Layer: 65
19.539
51
-0.335 0.711 248.091
-0.243 0.748 255.964
-0.147 0.772 262.444
-0.049 0.785 270.000
0.049 0.785 277.556
